date,close
2026-01-02,240.10
2026-01-05,243.80
2026-01-06,241.20
2026-01-07,245.50
2026-01-08,248.90
2026-01-09,247.10
2026-01-12,252.40
2026-01-13,255.20
2026-01-14,251.70
2026-01-15,258.30
2026-01-16,261.10
2026-01-20,259.80
2026-01-21,264.50
2026-01-22,267.90
2026-01-23,266.20
2026-01-26,270.40
2026-01-27,274.10
2026-01-28,271.30
2026-01-29,276.80
2026-01-30,279.60
2026-02-02,282.20
2026-02-03,280.10
2026-02-04,284.70
2026-02-05,288.40
2026-02-06,286.90
2026-02-09,291.20
2026-02-10,294.60
2026-02-11,292.30
2026-02-12,296.80
2026-02-13,300.50
